species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Wisp1	Ccn4	Experiment
Mouse	Abdomen	Muscle	Myoblast	Myod1	Myod1	Experiment
Mouse	Abdomen	Muscle	Muscle satellite cell	Myf5	Myf5	Experiment
Mouse	Abdomen	Muscle	Myocyte	Ckm	Ckm	Experiment
Mouse	Abdomen	Muscle	Myocyte	Acta1	Acta1	Experiment
Mouse	Abdomen	Muscle	Lymphatic endothelial cell	Ccl21a	Ccl21a	Experiment
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Pdgfra	Pdgfra	Experiment
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Cxcl5	Cxcl5	Experiment
Mouse	Abdomen	Muscle	Tenocyte	Fmod	Fmod	Experiment
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Ccl7	Ccl7	Experiment
Mouse	Abdomen	Muscle	Muscle satellite cell	Pax7	Pax7	Experiment
Mouse	Abdomen	Muscle	Endothelial cell	Cdh5	Cdh5	Experiment
Mouse	Abdomen	Muscle	Lymphatic endothelial cell	Lyve1	Lyve1	Experiment
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Ly6a	Ly6a	Experiment
Mouse	Abdomen	Muscle	Muscle satellite cell	Asb5	Asb5	Experiment
Mouse	Abdomen	Muscle	Tenocyte	Tnmd	Tnmd	Experiment
Mouse	Abdomen	Muscle	Endothelial cell	Pecam1	Pecam1	Experiment
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Tnc	Tnc	Experiment
Mouse	Abdomen	Muscle	Fibro-adipogenic progenitor cell	Dpp4	Dpp4	Experiment
Mouse	Adipose tissue	Adipose tissue	Endothelial cell	CD31		Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	MAC-1		Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	F4/80	Adgre1	Experiment
Mouse	Adipose tissue	White adipose tissue	Macrophage	CD68		Experiment
Mouse	Adipose tissue	Adipose tissue	Preadipocyte	Pref-1		Experiment
Mouse	Adipose tissue	Adipose tissue	Stem cell	CD105	Eng	Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stromal cell	CD44		Review
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stromal cell	CD13		Review
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stromal cell	CD90	Thy1	Review
Mouse	Adipose tissue	White adipose tissue	Macrophage	CD11b		Experiment
Mouse	Adipose tissue	White adipose tissue	Monocyte	CD11b		Experiment
Mouse	Adipose tissue	White adipose tissue	Macrophage	CD68		Experiment
Mouse	Adipose tissue	White adipose tissue	Monocyte	F4/80	Adgre1	Experiment
Mouse	Adipose tissue	White adipose tissue	Macrophage	F4/80	Adgre1	Experiment
Mouse	Adipose tissue	White adipose tissue	Monocyte	CD68		Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	Sca-1	Ly6a	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	Lin		Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD271		Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD29	Itgb1	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD44		Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	Cidea	Cidea	Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	Ucp1	Ucp1	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	Sca-1	Ly6a	Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD105	Eng	Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD73	Nt5e	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD105	Eng	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD90	Thy1	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD31		Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD45		Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	CD34		Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD105	Eng	Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD44		Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD34		Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD45		Experiment
Mouse	Adipose tissue	Adipose tissue	Brown fat cell	P2rx5	P2rx5	Experiment
Mouse	Adipose tissue	Adipose tissue	Beige fat cell	Pat2		Experiment
Mouse	Adipose tissue	Adipose tissue	Beige fat cell	P2rx5	P2rx5	Experiment
Mouse	Adipose tissue	Adipose tissue	Brown fat cell	Asc-1	Slc7a10	Experiment
Mouse	Adipose tissue	Adipose tissue	White fat cell	Asc-1	Slc7a10	Experiment
Mouse	Adipose tissue	Adipose tissue	Beige fat cell	Asc-1	Slc7a10	Experiment
Mouse	Adipose tissue	Adipose tissue	Brown fat cell	Pat2		Experiment
Mouse	Adipose tissue	Adipose tissue	M2 macrophage	Il4	Il4	Experiment
Mouse	Adipose tissue	Adipose tissue	M2 macrophage	Mrc1	Mrc1	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	CD274		Experiment
Mouse	Adipose tissue	Adipose tissue	M2 macrophage	Clec10a	Clec10a	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	TNF-alpha	Tnf	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	Nos2	Nos2	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	IL-6		Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	Il18	Il18	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	Ccl5	Ccl5	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	Ccl2	Ccl2	Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	Fabp4	Fabp4	Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	Perilipin		Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	CD137		Experiment
