Cluster	CellType	Markers
C1	Tcell	CD2,CD3G
C2	Cancer	ZNF536,SNED1,SORCS3
C3	Epithelium	EPCAM,KRT19,CDH1,KRT18
C4	Macrophage	FCGR3A,MSR1,MRC1,CTSB
C5	Basal_cells	KRT17
C6	Plasma_Cell	IGHG4,IGHG3,IGHG1,MZB1
C7	Aveolar_type_2	SFTPA2,ABCA3,LAMP3
C8	Mesothelial_cells	CALB2
C9	Fibroblasts	DCN,COL1A1,COL1A2
C10	Tuft_Cell	DCLK1,ASCL2,MIAT
C11	Endothelium	PECAM1,VWF,FLT1
C12	Natural_Killer_Cell	KLRD1,GNLY,NCR1,KLRC1
C13	Goblet_cells	MUC5B,MUC5AC
C14	Neutrophil	CEACAM8,ITGAM,LCN2
C15	B_Cell	MS4A1
C16	Aveolar_type_1	AGER,CLIC5,CAV1
C17	T_helper_1	CD4,IL12RB2
C18	Myofibroblasts	ACTA2,MYH11
C19	Lipofibroblast	FABP4,PPARG
C20	Neutrophil	CEACAM8,ITGAM,LCN2
C21	Lymphatic_endothelial_cells	PROX1,CCL21,PDPN,MMRN1
