CellType	Markers
Epithelium	EPCAM,KRT19,CDH1,KRT18
Aveolar_type_1	AGER,PDPN,CLIC5,CAV1
Aveolar_type_2	SFTPB,SFTPC,SFTPD,MUC1,ETV5,SFTPA1,SFTPA2,ABCA3,LAMP3
Basal_cells	KRT5,KRT14,TP63,DAPL1,KRT6A,KRT17,SYT8,MMP1,IGFBP6,FHL2
Mucous_cells	MUC5B
Cilated_cells	FOXJ1,TUBB1,TP73,CCDC78,TPPP3,PIFO,RFX2
Club_cells	CYP2F2,SCGB3A2,CCKAR,SCGB1A1,SCGB3A1,BPIFB1,TMEM45A,WFDC2,TSPAN8,CP,SAA2,MUC5B,LTF,PIGR,CXCL1
Ionocyte_cells	CFTR,FOXI1,ASCL3
Neuroendocrine_cells	CALCA,CHGA,ASCL1
Goblet_cells	MUC5B,MUC5AC,SPDEF
Serous_Cell	PRR4,LPO,LTF
Tuft_Cell	DCLK1,ASCL2
Tip_Cell	KCNE3,ESM1,ANGPT2,APLN
Respiratory_epithelial_cells	EMP2,AGER,UPK3B,SPOCK2,CYP4B1,CAV1,RGCC,ICAM1
Endothelium	PECAM1,VWF,ENG,CLDN5,FLT1,RAMP2
Artery_Cell	GJA5,BMX
Vein_Cell	ACKR1
Capillary_Cell	CA4
Lymphatic_endothelial_cells	PROX1,CCL21,TFF3,PDPN,MMRN1,GYPC,RGS16
Fibroblasts	DCN,COL1A1,COL1A2,THY1
Myofibroblasts	ACTA2,MYH11,TAGLN,ACTG2,MYLK
Smooth_muscle_cells	CNN1,SYNPO2,CRYAB,DES
Mesothelial_cells	UPK3B,MSLN,CALB2,WT1
Pericytes	RGS5,CSPG4,ABCC9,KCNJ8
Lipofibroblast	FABP4,FABP5,PPARG
Airway_secretory_cell	AQP3,MUC5AC,MUC5B,PIGR,SCGB1A1
Alveolar_epithelial_progenitor_cell	TM4SF1
Clara_cell	SCGB1A1
